Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-17T00:00+02:00;2022-05-18T00:00+02:00;2022-05-17;1;13;100,0;24;24;0;13;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-17T00:00+02:00;2022-05-18T00:00+02:00;2022-05-17;2;17;100,0;24;24;0;17;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-17T00:00+02:00;2022-05-18T00:00+02:00;2022-05-17;Totalt i retning Muse`gata;17;100,0;24;24;0;17;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-17T00:00+02:00;2022-05-18T00:00+02:00;2022-05-17;Totalt i retning Nyløkken/Telegrafbukta;13;100,0;24;24;0;13;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-17T00:00+02:00;2022-05-18T00:00+02:00;2022-05-17;Totalt;30;100,0;24;24;0;30;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-18T00:00+02:00;2022-05-19T00:00+02:00;2022-05-18;1;75;100,0;24;24;0;75;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-18T00:00+02:00;2022-05-19T00:00+02:00;2022-05-18;2;94;100,0;24;24;0;94;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-18T00:00+02:00;2022-05-19T00:00+02:00;2022-05-18;Totalt i retning Muse`gata;94;100,0;24;24;0;94;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-18T00:00+02:00;2022-05-19T00:00+02:00;2022-05-18;Totalt i retning Nyløkken/Telegrafbukta;75;100,0;24;24;0;75;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-18T00:00+02:00;2022-05-19T00:00+02:00;2022-05-18;Totalt;169;100,0;24;24;0;169;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-19T00:00+02:00;2022-05-20T00:00+02:00;2022-05-19;1;63;100,0;24;24;0;63;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-19T00:00+02:00;2022-05-20T00:00+02:00;2022-05-19;2;104;100,0;24;24;0;104;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-19T00:00+02:00;2022-05-20T00:00+02:00;2022-05-19;Totalt i retning Muse`gata;104;100,0;24;24;0;104;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-19T00:00+02:00;2022-05-20T00:00+02:00;2022-05-19;Totalt i retning Nyløkken/Telegrafbukta;63;100,0;24;24;0;63;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-19T00:00+02:00;2022-05-20T00:00+02:00;2022-05-19;Totalt;167;100,0;24;24;0;167;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-20T00:00+02:00;2022-05-21T00:00+02:00;2022-05-20;1;60;100,0;24;24;0;60;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-20T00:00+02:00;2022-05-21T00:00+02:00;2022-05-20;2;107;100,0;24;24;0;107;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-20T00:00+02:00;2022-05-21T00:00+02:00;2022-05-20;Totalt i retning Muse`gata;107;100,0;24;24;0;107;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-20T00:00+02:00;2022-05-21T00:00+02:00;2022-05-20;Totalt i retning Nyløkken/Telegrafbukta;60;100,0;24;24;0;60;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-20T00:00+02:00;2022-05-21T00:00+02:00;2022-05-20;Totalt;167;100,0;24;24;0;167;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-21T00:00+02:00;2022-05-22T00:00+02:00;2022-05-21;1;30;100,0;24;24;0;30;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-21T00:00+02:00;2022-05-22T00:00+02:00;2022-05-21;2;64;100,0;24;24;0;64;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-21T00:00+02:00;2022-05-22T00:00+02:00;2022-05-21;Totalt i retning Muse`gata;64;100,0;24;24;0;64;0,00;-;-;-;-;-;-;-;-
