År;Sektor;Tittel;Navn;Mengde
2013;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);El;0
2013;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Diesel;100
2013;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Gass;0
2015;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);El;0
2015;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Diesel;100
2015;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Gass;0
2016;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);El;0
2016;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Diesel;100
2016;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Gass;0
2017;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);El;0
2017;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Diesel;100
2017;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Gass;0
2018;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);El;0
2018;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Diesel;100
2018;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Gass;0
2019;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);El;0
2019;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Diesel;100
2019;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Gass;0
2020;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);El;0
2020;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Diesel;100
2020;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Gass;0
2021;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);El;0
2021;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Diesel;100
2021;Veitrafikk;Kjøring med buss fordelt på drivstofftype (%);Gass;0
2009;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);El;0
2009;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Diesel;100
2009;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Gass;0
2011;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);El;0
2011;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Diesel;100
2011;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Gass;0
2013;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);El;0
2013;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Diesel;100
